,name,locGrp,yr,ptlat_mean,ptlong_mean,wind_max,pressure_min,minlong_min,minlat_min,failTF_sum
57644,NoStorm2019,0,2019.0,33.49808029391304,-97.99398643130435,12.0,1050.0,-109.3,42.4,23.0
57692,NoStorm2019,1,2019.0,39.81386536857143,-76.16484636095238,12.0,1050.0,-109.3,42.4,21.0
57740,NoStorm2019,2,2019.0,31.324929794333332,-90.73548354366667,12.0,1050.0,-109.3,42.4,30.0
57788,NoStorm2019,3,2019.0,32.936950134117644,-81.80271913352942,12.0,1050.0,-109.3,42.4,17.0
57836,NoStorm2019,4,2019.0,39.91980002927273,-86.43600175090909,12.0,1050.0,-109.3,42.4,55.0
57884,NoStorm2019,5,2019.0,29.991789137540984,-95.64067664065573,12.0,1050.0,-109.3,42.4,61.0
57933,NoStorm2020,0,2020.0,34.86523816074074,-96.72994978074074,12.0,1050.0,-109.3,42.4,27.0
57981,NoStorm2020,1,2020.0,39.807184254444444,-75.91298429666666,12.0,1050.0,-109.3,42.4,9.0
58029,NoStorm2020,2,2020.0,31.333308147916668,-91.09200872208334,12.0,1050.0,-109.3,42.4,24.0
58077,NoStorm2020,3,2020.0,32.375772722499995,-83.11240870083334,12.0,1050.0,-109.3,42.4,12.0
58125,NoStorm2020,4,2020.0,40.80236220175,-85.458873881,12.0,1050.0,-109.3,42.4,40.0
58173,NoStorm2020,5,2020.0,29.695673291694913,-95.77308956694914,12.0,1050.0,-109.3,42.4,59.0
58222,NoStorm2021,0,2021.0,35.465090681724135,-96.60783333034483,12.0,1050.0,-109.3,42.4,29.0
58270,NoStorm2021,1,2021.0,40.47862972787879,-75.76014023272727,12.0,1050.0,-109.3,42.4,33.0
58318,NoStorm2021,2,2021.0,31.791797315789477,-90.75144142105263,12.0,1050.0,-109.3,42.4,19.0
58366,NoStorm2021,3,2021.0,32.73712455,-82.09768429,12.0,1050.0,-109.3,42.4,3.0
58414,NoStorm2021,4,2021.0,40.03687084600001,-87.14207411000001,12.0,1050.0,-109.3,42.4,15.0
